f4_01.pdf|Shell 1|Spitzer 8~$\mu$m map toward Shell 1. Contours show $^{12}$CO integrated from 10.0 to 12.5~km~s$^{-1}$. Contours are drawn from 81 to 96$\sigma$ with steps of 5$\sigma$, where $\sigma = 0.9$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_02.pdf|Shell 2|Spitzer 8~$\mu$m map toward Shell 2. Contours show $^{12}$CO integrated from 10.8 to 11.6~km~s$^{-1}$. Contours are drawn from 115 to 130$\sigma$ with steps of 3$\sigma$, where $\sigma = 0.3$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_03.pdf|Shell 3|Spitzer 8~$\mu$m map toward Shell 3. Contours show $^{12}$CO integrated from 10.8 to 11.7~km~s$^{-1}$. Contours are drawn from 90 to 120$\sigma$ with steps of 5$\sigma$, where $\sigma = 0.3$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_04.pdf|Shell 4|Spitzer 8~$\mu$m map toward Shell 4. Contours show $^{12}$CO integrated from 11.5 to 12.5~km~s$^{-1}$. Contours are drawn from 75 to 150$\sigma$ with steps of 15$\sigma$, where $\sigma = 0.4$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_05.pdf|Shell 5|Herschel-Planck dust temperature map toward Shell 5. Contours show $^{12}$CO integrated from 10.9 to 11.9~km~s$^{-1}$. Contours are drawn from 60 to 100$\sigma$ with steps of 10$\sigma$, where $\sigma = 0.4$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_06.pdf|Shell 6|Spitzer 3.6~$\mu$m map toward Shell 6. Contours show $^{12}$CO integrated from 8.6 to 10.6~km~s$^{-1}$. Contours are drawn from 50 to 80$\sigma$ with steps of 6$\sigma$, where $\sigma = 0.8$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_07.pdf|Shell 7|Spitzer 3.6~$\mu$m map toward Shell 7. Contours show $^{12}$CO integrated from 11.8 to 13.9~km~s$^{-1}$. Contours are drawn from 30 to 70$\sigma$ with steps of 10$\sigma$, where $\sigma = 0.9$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_08.pdf|Shell 8|Herschel-Planck dust temperature map toward Shell 8. Contours show $^{12}$CO integrated from 12.5 to 14.0~km~s$^{-1}$. Contours are drawn from 30 to 70$\sigma$ with steps of 10$\sigma$, where $\sigma = 0.6$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_09.pdf|Shell 9|Spitzer 8~$\mu$m map toward Shell 9. Contours show $^{12}$CO integrated from 8.2 to 10.0~km~s$^{-1}$. Contours are drawn from 15 to 90$\sigma$ with steps of 25$\sigma$, where $\sigma = 0.9$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_10.pdf|Shell 10|Spitzer 8~$\mu$m map toward Shell 10. Contours show $^{13}$CO integrated from 8.5 to 13.5~km~s$^{-1}$. Contours are drawn from 10 to 22$\sigma$ with steps of 2$\sigma$, where $\sigma = 1.2$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_11.pdf|Shell 11|Spitzer 8~$\mu$m map toward Shell 11. Contours show $^{12}$CO integrated from 11.7 to 13.4~km~s$^{-1}$. Contours are drawn from 35 to 75$\sigma$ with steps of 8$\sigma$, where $\sigma = 0.7$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
f4_12.pdf|Shell 12|Herschel-Planck dust temperature map toward Shell 12. Contours show $^{12}$CO integrated from 7.3 to 8.1~km~s$^{-1}$. Contours are drawn from 60 to 100$\sigma$ with steps of 10$\sigma$, where $\sigma = 0.3$~K~km~s$^{-1}$. The large solid circle and dashed annulus indicate the best-fit radius and thickness of the CO shell, respectively. White stars indicate intermediate-mass stars of spectral type B, A, and F. Cyan crosses indicate young stellar objects from the Spitzer Orion catalog.
